duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,canonical_wave,confidence
RESCAND-706c484e13ea4093382ddd6b,RESCAND-3793b181e50a11d30da70636,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-109fda96c88642f56241268e,RESCAND-bd6fc5f778c775878b773d18,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-ac67cc224967c0e802a1b7b2,RESCAND-b8ede90eb0cee46113f9c7c4,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-9cbfd853f92b1134093d5404,RESCAND-bd6fc5f778c775878b773d18,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-90e8555b3ff2495310de1cec,RESCAND-313892a50eafcff2e12197ae,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-66ee1d0bfbbc30492e191a43,RESCAND-7cce0e611890dba9eba9d30a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-4c9541553f095866eed39bcb,EXTCAND-600192073a6baaa989aa5432,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-3b15fd044c470a5dd5048251,RESCAND-84d095cf66d985837b697cf9,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-1e0cdf8ed6ff0798ddd74f28,EXTCAND-4fd02a1d3112c15aa12612f2,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-9c7aa4c0584161050b8b3033,EXTCAND-4b04290497a356ed3a2ff0a8,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-39900d99ce1fda327faa9a7b,RESCAND-4d8515c182a4dd78f93bf1ff,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-946ccc0fcfe0bb483d5125c7,RESCAND-3793b181e50a11d30da70636,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
