canonical_candidate_id,canonical_locator_id,duplicate_group_role,duplicate_group_basis
RESCAND-6814a1fec354a85c0d713da9,EXTLOC-67b172cbf5f1efe4a5351784,,
RESCAND-1af9d1a07bb9d30ad601cdbc,EXTLOC-ec5d5adf6eeccc3eb271c6dd,,
EXTCAND-27c6dec815a17df0492c2ef9,EXTLOC-fce80145c939bd83c2a8a714,,
RESCAND-78bd99320971c892b28b98ed,EXTLOC-5c68542c4b631f0a5da94575,,
RESCAND-0fbe328bca56fb99dd934e8e,EXTLOC-b7260041426054845d913dd2,,
RESCAND-d51a7c2797ccbe9277e93bb7,EXTLOC-29c0ac87c00aee1a6cc1a05f,,
RESCAND-ae41dbfcf2ad44e30f044825,EXTLOC-867afdabf67a1190ae0de472,,
EXTCAND-d46a939b2894ea5d1348be0b,EXTLOC-ea97c9fc616b2ce47cc1a165,,
RESCAND-402ecfd9cb78a7064a6e213f,EXTLOC-68aec2884d41d7d64c7a5df1,,
RESCAND-446fc9a9a8ad1658df30b062,EXTLOC-160ff8078a34951e8d6ef293,,
RESCAND-76b6384d318229347330e6c2,EXTLOC-82e3da1d6ab0425ba9f2b67c,,
RESCAND-fc646b29e1374be2e6f96c4a,EXTLOC-9d6ee4db08f246c86ea9f850,,
RESCAND-3fe7c576080969979ca53135,EXTLOC-f1b2cf8225583a064f365597,,
EXTCAND-9dda569ffa39961031250a1c,EXTLOC-0cc1bb4915c64e46786470b3,,
RESCAND-a52477c29a595be18ae582ac,EXTLOC-9a5b232f92f0ebeb7636a46c,,
RESCAND-82b39827d1fae4868f9c5d55,EXTLOC-89fc4e7540a67e4ae3d633e1,,
RESCAND-49047cb0afced10613ded940,EXTLOC-8cb35be81551ffda834697c3,,
RESCAND-f0194508b9e795bfbdd6bab0,EXTLOC-b4b661459d3a5fd6690284e0,,
RESCAND-8a7ebdd24bc2dfd1ede3a89f,EXTLOC-625c9964f13cf9fea4407a7a,,
RESCAND-8b14aa317cae5239b1e738e8,EXTLOC-d19f0321b19bcf02b8a55bfd,,
RESCAND-64fdb14bbc73400733c94d98,EXTLOC-5a7530fb644dbba1846678d5,,
RESCAND-b94035604902523c6e556ebe,EXTLOC-d1dd0110115cada9874442e6,,
RESCAND-10195fdf260c0a373cfcfaaf,EXTLOC-25760fdc44ab5764411764bb,,
RESCAND-b8047ce6fcaa630dc1c9a44a,EXTLOC-1c56e788ed9cc33b55ebefde,,
RESCAND-dc6f42b19c4ebd5cbd044d66,EXTLOC-f967a6b9106cfac1accaf131,,
RESCAND-f752698806db788e94511e6b,EXTLOC-a5e99e6883760fb7d8619737,,
RESCAND-5d591ccc861473081c99a4f0,EXTLOC-e73c0cf1c6647b4f2a618681,,
RESCAND-ea0c400e2b47d703ab1c2432,EXTLOC-dcd01ee308ff240a5ab4ed8f,,
RESCAND-17f5d2eaf47f9c4c484b4af0,EXTLOC-45992868e3392561a4c67f00,,
RESCAND-99f79eb8a353c3e6831c0eee,EXTLOC-976117d47f1cad251a8d152c,,
RESCAND-102e1941eb13394cc830eb88,EXTLOC-cb15a29f7d5c9a11beac31a4,,
